quarter_start,year,quarter,year_quarter,topic,metric_family,metric,submetric,value,display,source_file,source_url,provisional_note
2022-01-01,2022,Q1,2022 Q1,Births & maternal/infant health,birthweight,Births by birthweight,Low,9.58,Percent,data_archive.csv,https://raw.githubusercontent.com/nychealth/provisional-vital-statistics/main/data_archive.csv,NYC DOHMH provisional quarterly data; recent quarters may change; overdose data lags six months; most other indicators lag about three months.
2022-01-01,2022,Q1,2022 Q1,Births & maternal/infant health,birthweight,Births by birthweight,Normal,90.4,Percent,data_archive.csv,https://raw.githubusercontent.com/nychealth/provisional-vital-statistics/main/data_archive.csv,NYC DOHMH provisional quarterly data; recent quarters may change; overdose data lags six months; most other indicators lag about three months.
2022-01-01,2022,Q1,2022 Q1,Births & maternal/infant health,birthweight,Births by birthweight,Very Low,1.29,Percent,data_archive.csv,https://raw.githubusercontent.com/nychealth/provisional-vital-statistics/main/data_archive.csv,NYC DOHMH provisional quarterly data; recent quarters may change; overdose data lags six months; most other indicators lag about three months.
2022-01-01,2022,Q1,2022 Q1,Births & maternal/infant health,borough,Births by borough,Bronx,3733,Number,data_archive.csv,https://raw.githubusercontent.com/nychealth/provisional-vital-statistics/main/data_archive.csv,NYC DOHMH provisional quarterly data; recent quarters may change; overdose data lags six months; most other indicators lag about three months.
2022-01-01,2022,Q1,2022 Q1,Births & maternal/infant health,borough,Births by borough,Brooklyn,7924,Number,data_archive.csv,https://raw.githubusercontent.com/nychealth/provisional-vital-statistics/main/data_archive.csv,NYC DOHMH provisional quarterly data; recent quarters may change; overdose data lags six months; most other indicators lag about three months.
2022-01-01,2022,Q1,2022 Q1,Births & maternal/infant health,borough,Births by borough,Manhattan,3156,Number,data_archive.csv,https://raw.githubusercontent.com/nychealth/provisional-vital-statistics/main/data_archive.csv,NYC DOHMH provisional quarterly data; recent quarters may change; overdose data lags six months; most other indicators lag about three months.
2022-01-01,2022,Q1,2022 Q1,Births & maternal/infant health,borough,Births by borough,Non-NYC Residents,2975,Number,data_archive.csv,https://raw.githubusercontent.com/nychealth/provisional-vital-statistics/main/data_archive.csv,NYC DOHMH provisional quarterly data; recent quarters may change; overdose data lags six months; most other indicators lag about three months.
2022-01-01,2022,Q1,2022 Q1,Births & maternal/infant health,borough,Births by borough,Queens,4788,Number,data_archive.csv,https://raw.githubusercontent.com/nychealth/provisional-vital-statistics/main/data_archive.csv,NYC DOHMH provisional quarterly data; recent quarters may change; overdose data lags six months; most other indicators lag about three months.
2022-01-01,2022,Q1,2022 Q1,Births & maternal/infant health,borough,Births by borough,Staten Island,1154,Number,data_archive.csv,https://raw.githubusercontent.com/nychealth/provisional-vital-statistics/main/data_archive.csv,NYC DOHMH provisional quarterly data; recent quarters may change; overdose data lags six months; most other indicators lag about three months.
2022-01-01,2022,Q1,2022 Q1,Births & maternal/infant health,coverage,Births by coverage,Medicaid,56.19,Percent,data_archive.csv,https://raw.githubusercontent.com/nychealth/provisional-vital-statistics/main/data_archive.csv,NYC DOHMH provisional quarterly data; recent quarters may change; overdose data lags six months; most other indicators lag about three months.
2022-01-01,2022,Q1,2022 Q1,Births & maternal/infant health,coverage,Births by coverage,Non-Medicaid,43.81,Percent,data_archive.csv,https://raw.githubusercontent.com/nychealth/provisional-vital-statistics/main/data_archive.csv,NYC DOHMH provisional quarterly data; recent quarters may change; overdose data lags six months; most other indicators lag about three months.
2022-01-01,2022,Q1,2022 Q1,Births & maternal/infant health,maternal age,Births by maternal age,20 to 29,8573,Number,data_archive.csv,https://raw.githubusercontent.com/nychealth/provisional-vital-statistics/main/data_archive.csv,NYC DOHMH provisional quarterly data; recent quarters may change; overdose data lags six months; most other indicators lag about three months.
